論理名,物理テーブル,種別,カテゴリ,カラム数,PK数,画面利用,CRUD
下請管理法マスタ,tmh_acif_subcontract_act,,社内アプリケーション / 会計IFドメイン,11,0,,
会計IF消費税期間マスタ,tmh_acif_consumption_tax_period,,社内アプリケーション / 会計IFドメイン,12,0,,
資材仕入単価マスタ,tmh_acif_item_purchase_price,,社内アプリケーション / 会計IFドメイン,15,0,,
資材仕入単価マスタ（テンポラリ）,tmh_acif_item_purchase_price_processing,,社内アプリケーション / 会計IFドメイン,13,0,,
資材仕入用科目判定マスタ,tmh_acif_item_account_rule,,社内アプリケーション / 会計IFドメイン,14,0,,
資材出庫単価マスタ,tmh_acif_item_issue_price,,社内アプリケーション / 会計IFドメイン,11,0,,
資材出庫単価マスタ（テンポラリ）,tmh_acif_item_issue_price_processing,,社内アプリケーション / 会計IFドメイン,11,0,,
資材売上単価マスタ,tmh_acif_item_sales_price,,社内アプリケーション / 会計IFドメイン,13,0,,
資材売上単価マスタ（テンポラリ）,tmh_acif_item_sales_price_processing,,社内アプリケーション / 会計IFドメイン,7,0,,
資材売上用科目判定マスタ,tmh_acif_item_sales_account_rule,,社内アプリケーション / 会計IFドメイン,13,0,,
資材売却品基準原価マスタ,tmh_acif_item_standard_cost,,社内アプリケーション / 会計IFドメイン,12,0,,
車種集約マスタ,tmh_acif_vehicle_type_group,,社内アプリケーション / 会計IFドメイン,11,0,,
部品売上単価マスタ取込ワーク,tmh_acif_part_sales_price,,社内アプリケーション / 会計IFドメイン,18,0,,
部品売上期次累積_VIEW,tmh_acif_journal_entry_period_records,トラン,社内アプリケーション / 会計IFドメイン / VIEW,59,0,○,R
TMC部品売上単価マスタ,tmh_acif_part_tmc_sales_price,,社内アプリケーション / 会計IFドメイン / マスタ,17,0,,
リスト項目マスタ,tmh_acif_list_item,,社内アプリケーション / 会計IFドメイン / マスタ,14,0,,
人事給与用科目判定マスタ,tmh_acif_employee_payroll_account_rule,,社内アプリケーション / 会計IFドメイン / マスタ,23,0,,
会計IFパッケージマスタ,tmh_acif_batch,,社内アプリケーション / 会計IFドメイン / マスタ,4,0,,
会計IFメールテンプレートマスタ,tmh_acif_email_template,,社内アプリケーション / 会計IFドメイン / マスタ,12,0,,
会計IF運用スケジュールマスタ,tmh_acif_operation_schedule,,社内アプリケーション / 会計IFドメイン / マスタ,15,0,,
内製品単価マスタ,tmh_acif_manufacturing_cost,,社内アプリケーション / 会計IFドメイン / マスタ,24,0,,
原価仕訳パターンマスタ,tmh_acif_cost_journal_entry_rule,,社内アプリケーション / 会計IFドメイン / マスタ,13,0,,
原価計算用科目判定マスタ,tmh_acif_cost_account_rule,,社内アプリケーション / 会計IFドメイン / マスタ,17,0,,
外販用内製品単価マスタ,tmh_acif_external_manufacturing_item_price,,社内アプリケーション / 会計IFドメイン / マスタ,24,0,,
外販用部品仕入単価マスタ,tmh_acif_external_part_purchase_price,,社内アプリケーション / 会計IFドメイン / マスタ,15,0,,
製品区分マスタ,tmh_acif_product_category,マスタ,社内アプリケーション / 会計IFドメイン / マスタ,13,0,○,R
複数ラインたな卸マスタ,tmh_acif_inventory_line,,社内アプリケーション / 会計IFドメイン / マスタ,13,0,,
計量所マスタ,tmh_acif_measurement_station,マスタ,社内アプリケーション / 会計IFドメイン / マスタ,15,0,,
資材出庫用科目判定マスタ,tmh_acif_item_issue_account_rule,,社内アプリケーション / 会計IFドメイン / マスタ,10,0,,
資材支給品出庫マスタ,tmh_acif_item_issue,,社内アプリケーション / 会計IFドメイン / マスタ,10,0,,
購入部品基準単価マスタ,tmh_acif_standard_purchase_price,,社内アプリケーション / 会計IFドメイン / マスタ,12,0,,
軽油取引税マスタ,tmh_acif_diesel_fuel_transaction_tax,,社内アプリケーション / 会計IFドメイン / マスタ,16,0,,
部品たな卸用科目判定マスタ,tmh_acif_part_inventory_account_rule,,社内アプリケーション / 会計IFドメイン / マスタ,11,0,,
部品仕入単価マスタ,tmh_acif_part_purchase_price,,社内アプリケーション / 会計IFドメイン / マスタ,16,0,○,CRU
部品売上用科目判定マスタ,tmh_acif_part_sales_account_rule,,社内アプリケーション / 会計IFドメイン / マスタ,15,0,,
部品売上用ＫＤパーツ判定マスタ,tmh_acif_part_sales_kd_rule,,社内アプリケーション / 会計IFドメイン / マスタ,8,0,,
１／２・実勘判定マスタ,tmh_acif_actual_cost_class_rule,,社内アプリケーション / 会計IFドメイン / マスタ,9,0,,
TMC受信データ期次累積,tmh_acif_tmc_received_cum,,社内アプリケーション / 会計IFドメイン / マスタ / 共通,52,0,,
wk_特調データ,tmh_acif_specific_procurement_processing,,社内アプリケーション / 会計IFドメイン / マスタ / 共通,85,0,,
wk_特調資産データ,tmh_acif_specific_procurement_asset_processing,,社内アプリケーション / 会計IFドメイン / マスタ / 共通,24,0,,
会計IF期間マスタ,tmh_acif_period,,社内アプリケーション / 会計IFドメイン / マスタ / 共通,20,1,○,R
品番マスタ,tmh_acif_part_number,マスタ,社内アプリケーション / 会計IFドメイン / マスタ / 共通,36,0,○,R
品番仕入先マスタ,tmh_acif_part_number_supplier,マスタ,社内アプリケーション / 会計IFドメイン / マスタ / 共通,22,3,○,R
売掛金買掛金日付管理マスタ,tmh_acif_receivable_payable_date,マスタ,社内アプリケーション / 会計IFドメイン / マスタ / 共通,10,0,,
特定レートマスタ,tmh_acif_specific_rate,マスタ,社内アプリケーション / 会計IFドメイン / マスタ / 共通,12,0,,
特定作業データ,tmh_acif_specific_operation,,社内アプリケーション / 会計IFドメイン / マスタ / 共通,11,0,,
特調データ,tmh_acif_specific_procurement,,社内アプリケーション / 会計IFドメイン / マスタ / 共通,89,0,,
特調建仮引渡,tmh_acif_specific_procurement_cip_handover,,社内アプリケーション / 会計IFドメイン / マスタ / 共通,13,0,,
特調検収実績,tmh_acif_specific_procurement_acceptance,,社内アプリケーション / 会計IFドメイン / マスタ / 共通,26,0,,
特調消費税区分マスタ,tmh_acif_specific_procurement_tax_category,,社内アプリケーション / 会計IFドメイン / マスタ / 共通,13,0,,
特調管理番号用科目判定マスタ,tmh_acif_specific_procurement_management_number,,社内アプリケーション / 会計IFドメイン / マスタ / 共通,16,0,,
特調負担部署用科目判定マスタ,tmh_acif_specific_procurement_cost_burden_department,,社内アプリケーション / 会計IFドメイン / マスタ / 共通,10,0,,
特調資産データ,tmh_acif_specific_procurement_asset,,社内アプリケーション / 会計IFドメイン / マスタ / 共通,28,0,,
部品トヨタ出庫部署マスタ,tmh_acif_part_tmc_issue_department,,社内アプリケーション / 会計IFドメイン / マスタ / 共通,13,0,,
部品仕入単価マスタ,tmh_acif_external_parts_purchase_unit_price,マスタ,社内アプリケーション / 会計IFドメイン / マスタ / 部品仕入単価マスタ,16,4,,
部品売上単価マスタ,tmh_acif_parts_sales_unit_price,マスタ,社内アプリケーション / 会計IFドメイン / マスタ / 部品売上単価マスタ,18,4,○,R
エラー情報,tmh_acif_error,,社内アプリケーション / 会計IFドメイン / 画面テーブル,20,0,,
エラー情報明細,tmh_acif_error_line,,社内アプリケーション / 会計IFドメイン / 画面テーブル,20,0,,
仕掛品出庫数量,tmh_acif_wip_issue_quantity,,社内アプリケーション / 会計IFドメイン / 画面テーブル,25,0,,
仕掛品出庫数量データ,tmh_acif_wip_issue_quantity_line,,社内アプリケーション / 会計IFドメイン / 画面テーブル,23,0,,
労務費データ,tmh_acif_labor_cost_record,,社内アプリケーション / 会計IFドメイン / 画面テーブル,20,0,,
売掛金買掛金訂正票,tmh_acif_receivable_payable_correction_slips,トラン,社内アプリケーション / 会計IFドメイン / 画面テーブル,51,2,○,CR
支払遅延利息計算,tmh_acif_payment_delay_interest,,社内アプリケーション / 会計IFドメイン / 画面テーブル,32,0,,
数量管理表集計,tmh_acif_quantity_summary,,社内アプリケーション / 会計IFドメイン / 画面テーブル,21,0,,
製造原価修正数量確定,tmh_acif_manufacturing_cost_adjustment_quantity,,社内アプリケーション / 会計IFドメイン / 画面テーブル,20,0,,
計量実績,tmh_acif_measurement_result,,社内アプリケーション / 会計IFドメイン / 画面テーブル,24,0,,
部品仕入５点１葉,tmh_acif_parts_purchase_five_point_slips,トラン,社内アプリケーション / 会計IFドメイン / 画面テーブル,22,0,,
部品売上原価調整,tmh_acif_part_cogs_adjustment,,社内アプリケーション / 会計IFドメイン / 画面テーブル,21,0,,
部品売上外販品数量,tmh_acif_part_external_sales_quantity,,社内アプリケーション / 会計IFドメイン / 画面テーブル,18,4,,
部品売上期次累積,tmh_acif_part_sales_cum,,社内アプリケーション / 会計IFドメイン / 画面テーブル,32,0,,
部品検収実績,tmh_acif_part_acceptance,,社内アプリケーション / 会計IFドメイン / 画面テーブル,51,0,,
加工不良数量,tmh_acif_processing_defect_quantity,,社内アプリケーション / 会計IFドメイン / 画面テーブル / 加工不良数量,17,4,,
加工不良金額期次累積,tmh_acif_processing_defect_cum,,社内アプリケーション / 会計IFドメイン / 画面テーブル / 加工不良数量,16,0,,
特定工数,tmh_acif_specific_effort,,社内アプリケーション / 会計IFドメイン / 画面テーブル / 加工不良数量,18,4,,
差額調整_鋼鈑精算金,tmh_acif_steel_plate_settlement_adjustment,,社内アプリケーション / 会計IFドメイン / 画面テーブル / 差額調整_鋼鈑精算金,25,2,○,CRUD
部品仕入返品,tmh_acif_parts_purchase_returns,トラン,社内アプリケーション / 会計IFドメイン / 画面テーブル / 部品仕入返品,22,0,○,R
今回特調たな卸,tmh_acif_specific_procurement_inventory_line,,社内アプリケーション / 会計IFドメイン / 累積,22,0,,
仕掛品出庫期次累積,tmh_acif_wip_issue_cum,,社内アプリケーション / 会計IFドメイン / 累積,22,0,,
仕訳情報期次累積,tmh_acif_journal_entry_cum,,社内アプリケーション / 会計IFドメイン / 累積,54,0,,
倉庫たな卸データ,tmh_acif_warehouse_inventory_line,,社内アプリケーション / 会計IFドメイン / 累積,15,0,,
倉庫現品票期次,tmh_acif_warehouse_item_label,,社内アプリケーション / 会計IFドメイン / 累積,24,0,,
照合データ期次累積,tmh_acif_reconciliation_line_cum,,社内アプリケーション / 会計IFドメイン / 累積,54,4,,
特定加工費期次累積,tmh_acif_specific_processing_cost_cum,,社内アプリケーション / 会計IFドメイン / 累積,19,0,,
特調たな卸金額期次累積,tmh_acif_specific_procurement_inventory_amount_cum,,社内アプリケーション / 会計IFドメイン / 累積,18,0,,
特調仕入期次累積,tmh_acif_specific_procurement_purchase_cum,,社内アプリケーション / 会計IFドメイン / 累積,25,0,,
現場たな卸データ,tmh_acif_site_inventory_line,,社内アプリケーション / 会計IFドメイン / 累積,24,0,,
現場手持現品票期次,tmh_acif_site_inventory_tag,,社内アプリケーション / 会計IFドメイン / 累積,27,0,,
納番変換期次累積,tmh_acif_delivery_number_conversion_cum,,社内アプリケーション / 会計IFドメイン / 累積,17,0,,
給与実績期次累積,tmh_acif_payroll_payment_cum,,社内アプリケーション / 会計IFドメイン / 累積,25,0,,
資材たな卸データ,tmh_acif_item_inventory_line,,社内アプリケーション / 会計IFドメイン / 累積,15,0,,
資材たな卸金額期次累積,tmh_acif_item_inventory_amount_cum,,社内アプリケーション / 会計IFドメイン / 累積,20,0,,
資材仕入期次累積,tmh_acif_item_purchase_amount_cum,,社内アプリケーション / 会計IFドメイン / 累積,32,0,,
資材出庫期次累積,tmh_acif_item_issue_cum,,社内アプリケーション / 会計IFドメイン / 累積,32,0,,
資材売上原価期次累積,tmh_acif_item_cogs_cum,,社内アプリケーション / 会計IFドメイン / 累積,22,0,,
資材売上期次累積,tmh_acif_item_sales_cum,,社内アプリケーション / 会計IFドメイン / 累積,24,0,,
部品たな卸金額期次累積,tmh_acif_part_inventory_amount_cum,,社内アプリケーション / 会計IFドメイン / 累積,39,0,,
部品仕入期次累積,tmh_acif_part_purchase_amount_cum,,社内アプリケーション / 会計IFドメイン / 累積,28,0,,
部品仕掛品たな卸,tmh_acif_part_wip_inventory,,社内アプリケーション / 会計IFドメイン / 累積,28,0,,
部品仕掛品たな卸データ,tmh_acif_part_wip_inventory_line,,社内アプリケーション / 会計IFドメイン / 累積,28,0,,
部品仕掛品（外注）現品票期次,tmh_acif_part_wip_cum,,社内アプリケーション / 会計IFドメイン / 累積,27,0,,
部品原価期次累積,tmh_acif_part_cost_cum,,社内アプリケーション / 会計IFドメイン / 累積,27,0,,
部品製品たな卸,tmh_acif_part_inventory,,社内アプリケーション / 会計IFドメイン / 累積,17,0,,
部品製品たな卸データ,tmh_acif_part_inventory_line,,社内アプリケーション / 会計IFドメイン / 累積,17,0,,
（DWH）TMC受信データ期次累積,tmh_acif_tmc_received_cum_dwh,,社内アプリケーション / 会計IFドメイン / 累積,54,0,,
（DWH）仕掛品出庫期次累積,tmh_acif_wip_issue_cum_dwh,,社内アプリケーション / 会計IFドメイン / 累積,23,0,,
（DWH）仕訳情報期次累積,tmh_acif_journal_entry_cum_dwh,,社内アプリケーション / 会計IFドメイン / 累積,57,0,,
（DWH）加工不良金額期次累積,tmh_acif_processing_defect_cum_dwh,,社内アプリケーション / 会計IFドメイン / 累積,18,0,,
（DWH）照合データ期次累積,tmh_acif_reconciliation_line_cum_dwh,,社内アプリケーション / 会計IFドメイン / 累積,56,0,,
（DWH）特定加工費期次累積,tmh_acif_specific_processing_cost_cum_dwh,,社内アプリケーション / 会計IFドメイン / 累積,19,0,,
（DWH）特調たな卸金額期次累積,tmh_acif_specific_procurement_inventory_amount_cum_dwh,,社内アプリケーション / 会計IFドメイン / 累積,18,0,,
（DWH）特調仕入期次累積,tmh_acif_specific_procurement_purchase_cum_dwh,,社内アプリケーション / 会計IFドメイン / 累積,25,0,,
（DWH）納番変換期次累積,tmh_acif_delivery_number_conversion_cum_dwh,,社内アプリケーション / 会計IFドメイン / 累積,18,0,,
（DWH）給与実績期次累積,tmh_acif_payroll_payment_cum_dwh,,社内アプリケーション / 会計IFドメイン / 累積,25,0,,
（DWH）資材たな卸金額期次累積,tmh_acif_item_inventory_amount_cum_dwh,,社内アプリケーション / 会計IFドメイン / 累積,21,0,,
（DWH）資材仕入期次累積,tmh_acif_item_purchase_amount_cum_dwh,,社内アプリケーション / 会計IFドメイン / 累積,34,0,,
（DWH）資材出庫期次累積,tmh_acif_item_issue_cum_dwh,,社内アプリケーション / 会計IFドメイン / 累積,33,0,,
（DWH）資材原価期次累積,tmh_acif_item_cogs_cum_dwh,,社内アプリケーション / 会計IFドメイン / 累積,23,0,,
（DWH）資材売上期次累積,tmh_acif_item_sales_cum_dwh,,社内アプリケーション / 会計IFドメイン / 累積,25,0,,
（DWH）部品たな卸金額期次累積,tmh_acif_part_inventory_amount_cum_dwh,,社内アプリケーション / 会計IFドメイン / 累積,40,0,,
（DWH）部品仕入期次累積,tmh_acif_part_purchase_amount_cum_dwh,,社内アプリケーション / 会計IFドメイン / 累積,30,0,,
（DWH）部品原価期次累積,tmh_acif_part_cost_cum_dwh,,社内アプリケーション / 会計IFドメイン / 累積,28,0,,
（DWH）部品売上原価期次累積,tmh_acif_part_cogs_cum_dwh,,社内アプリケーション / 会計IFドメイン / 累積,59,0,,
（DWH）部品売上期次累積,tmh_acif_part_sales_cum_dwh,,社内アプリケーション / 会計IFドメイン / 累積,33,0,,
（DWH）部品製造原価期次累積,tmh_acif_part_manufacturing_cost_cum_dwh,,社内アプリケーション / 会計IFドメイン / 累積,59,0,,
wk_一括オーダー実績,tmh_acif_bulk_order_result_processing,,社内アプリケーション / 会計IFドメイン / 連携,28,0,,
wk_債権債務Ｉ／Ｆ,tmh_acif_receivable_payable_processing,,社内アプリケーション / 会計IFドメイン / 連携,15,0,,
wk_出荷数量ＩＦ,tmh_acif_shipment_quantity_processing,,社内アプリケーション / 会計IFドメイン / 連携,19,0,,
wk_品番マスタ,tmh_acif_part_number_processing,,社内アプリケーション / 会計IFドメイン / 連携,33,0,,
wk_品番仕入先マスタ,tmh_acif_part_number_supplier_processing,,社内アプリケーション / 会計IFドメイン / 連携,18,0,,
一括オーダー実績,tmh_acif_bulk_order_result,,社内アプリケーション / 会計IFドメイン / 連携,27,0,,
会計Ｉ／Ｆ入庫ファイル,tmh_acif_receipt_inbound,,社内アプリケーション / 会計IFドメイン / 連携,39,0,,
会計Ｉ／Ｆ出庫ファイル,tmh_acif_issue_inbound,,社内アプリケーション / 会計IFドメイン / 連携,27,0,,
出荷数量ＩＦ,tmh_acif_shipment_quantity_interface,,社内アプリケーション / 会計IFドメイン / 連携,19,0,,
受信ファイルデータ,tmh_acif_inbound_batch,,社内アプリケーション / 会計IFドメイン / 連携,8,0,,
生産実績ＩＦ,tmh_acif_production_result_interface,,社内アプリケーション / 会計IFドメイン / 連携,17,0,,
資材新設連絡書ファイル,tmh_acif_item_creation_notice,,社内アプリケーション / 会計IFドメイン / 連携,14,0,,
